number	created_at	merged_at	state	title	user	time_to_merge
1012	2023-05-06 13:57:56+00:00	2023-05-06 18:48:06+00:00	closed	[FIX] allow cli to run constrat smoothing	Remi-Gau	0
1011	2023-05-05 10:01:49+00:00	2023-05-05 11:13:00+00:00	closed	[INFRA] Update submodules	Remi-Gau	0
1009	2023-05-02 15:09:54+00:00	2023-05-02 22:19:04+00:00	closed	[FIX] Force copy of data from fmriprep folder even if bidspm-preproc folder exists	marcobarilari	0
994	2023-04-29 15:55:59+00:00	2023-05-07 14:22:11+00:00	closed	[INFRA] run matlab CI on windows and macOS	Remi-Gau	7
992	2023-04-28 05:01:02+00:00	2023-04-28 06:45:38+00:00	closed	[ENH] turn error into warning when no data to copy found	Remi-Gau	0
990	2023-04-21 09:06:31+00:00	2023-04-21 09:06:48+00:00	closed	[MAINT] update bids matlab	Remi-Gau	0
989	2023-04-20 22:01:00+00:00	2023-04-21 08:03:23+00:00	closed	[FIX] report proper fold number in labelfold.tsv	Remi-Gau	0
988	2023-04-20 19:41:47+00:00	2023-04-21 09:25:07+00:00	closed	[MAINT] rename test data dir	Remi-Gau	0
987	2023-04-20 19:21:56+00:00	2023-04-20 20:16:48+00:00	closed	[ENH] update rename to store original spm name of a file in metadata	Remi-Gau	0
985	2023-04-20 12:16:03+00:00	2023-04-20 14:37:48+00:00	closed	[DOC] update doc regarding FAST model as default	Remi-Gau	0
984	2023-04-20 11:16:36+00:00	2023-04-20 11:16:48+00:00	closed	[MAINT] improve forms	Remi-Gau	0
983	2023-04-20 09:47:11+00:00	2023-04-20 14:55:29+00:00	closed	[FIX] validate condition names early to avoid downstream error	Remi-Gau	0
982	2023-04-19 15:42:00+00:00	2023-04-20 17:23:59+00:00	closed	[FIX] inconsistent slice timing throw errors and not warnings	Remi-Gau	1
981	2023-04-19 11:19:45+00:00	2023-04-19 11:53:46+00:00	closed	[DOC] update contributors and default options in doc	Remi-Gau	0
980	2023-04-19 10:35:03+00:00	2023-04-20 11:00:45+00:00	closed	[FIX] validate content results structure	Remi-Gau	1
972	2023-03-29 09:17:27+00:00	2023-03-29 09:17:51+00:00	closed	docs: add JacMatu as a contributor for bug, and userTesting	allcontributors[bot]	0
971	2023-03-29 09:15:38+00:00	2023-03-29 09:16:05+00:00	closed	docs: add avanaudenhaege as a contributor for bug, and userTesting	allcontributors[bot]	0
970	2023-03-28 14:34:21+00:00	2023-03-29 09:15:47+00:00	closed	[FIX] missing variable for a Filter transform should not lead to a crash	Remi-Gau	0
969	2023-03-28 08:07:11+00:00	2023-03-29 08:26:49+00:00	closed	[FIX] display error when impossible slice timing values are given	Remi-Gau	1
958	2023-02-15 16:13:11+00:00	2023-02-16 12:18:16+00:00	closed	[ENH] update bids matlab	Remi-Gau	0
957	2023-02-14 10:00:17+00:00	2023-02-14 22:42:49+00:00	closed	[REF] use bids-matlab internal functions 	Remi-Gau	0
954	2023-02-01 15:17:10+00:00	2023-02-01 15:40:57+00:00	closed	[INFRA] remove narps workflow	Remi-Gau	0
951	2023-01-24 21:11:33+00:00	2023-01-25 16:16:49+00:00	closed	[QA] refactor QA	Remi-Gau	0
950	2023-01-24 13:18:32+00:00	2023-01-25 15:27:23+00:00	closed	[ENH] add hemisphere parameter to CLI	Remi-Gau	1
948	2023-01-24 11:49:54+00:00	2023-01-24 11:50:05+00:00	closed	[ENH] make it possible to update bidspm from any folder	Remi-Gau	0
944	2023-01-22 16:31:29+00:00	2023-01-22 22:37:38+00:00	closed	[ENH] use filtering of layout	Remi-Gau	0
943	2023-01-21 15:49:41+00:00	2023-01-22 14:16:20+00:00	closed	[INFRA]  update circleci	Remi-Gau	0
942	2023-01-18 23:12:08+00:00	2023-01-18 23:16:10+00:00	closed	[DOC] add doc to link to transformations	Remi-Gau	0
941	2023-01-18 21:43:02+00:00	2023-01-19 20:49:59+00:00	closed	[FIX] fix QA failures	Remi-Gau	0
939	2023-01-18 19:22:42+00:00	2023-01-18 23:16:24+00:00	closed	[ENH] make reports more silent	Remi-Gau	0
936	2023-01-14 11:11:56+00:00	2023-01-14 14:10:19+00:00	closed	[FIX] bug fix 892	Remi-Gau	0
935	2023-01-14 11:06:53+00:00	2023-01-14 11:07:03+00:00	closed	[DOC] add demo code from workshop	Remi-Gau	0
934	2023-01-14 10:36:40+00:00	2023-01-14 10:38:13+00:00	closed	[DOC] abstract OHBM 2023	Remi-Gau	0
916	2023-01-08 17:36:53+00:00	2023-01-09 12:50:33+00:00	closed	[INFRA] docker fix	Remi-Gau	0
915	2023-01-08 17:02:44+00:00	2023-01-08 17:14:00+00:00	closed	[INFRA] update circle ci	Remi-Gau	0
914	2023-01-08 16:25:24+00:00	2023-01-08 16:29:06+00:00	closed	[INFRA] update docker file	Remi-Gau	0
913	2023-01-08 15:09:16+00:00	2023-01-08 15:17:33+00:00	closed	[INFRA] add circle ci	Remi-Gau	0
912	2023-01-08 14:14:29+00:00	2023-01-08 14:16:47+00:00	closed	[INFRA] docker misc	Remi-Gau	0
911	2023-01-08 13:21:14+00:00	2023-01-08 13:40:47+00:00	closed	[INFRA] add docker build workflow	Remi-Gau	0
908	2023-01-06 15:28:44+00:00	2023-01-06 22:56:13+00:00	closed	[ENH] update bids matlab	Remi-Gau	0
907	2023-01-06 14:41:01+00:00	2023-01-06 16:06:18+00:00	closed	[DOC] add argument groups to python cli	Remi-Gau	0
906	2023-01-04 12:56:14+00:00	2023-01-06 15:29:08+00:00	closed	[ENH] drop rsHRF support	Remi-Gau	2
899	2022-12-27 20:30:24+00:00	2022-12-27 20:31:28+00:00	closed	[INFRA] add faqtory workflow for new issues	Remi-Gau	0
898	2022-12-27 15:36:50+00:00	2022-12-27 16:46:01+00:00	closed	[ENH] Add CC0 license by default to all outputs	Remi-Gau	0
897	2022-12-27 14:59:16+00:00	2022-12-27 16:49:50+00:00	closed	[DOC] update FAQ	Remi-Gau	0
896	2022-12-26 09:58:20+00:00	2022-12-27 20:24:16+00:00	closed	[ENH] update bids matlab and refactor	Remi-Gau	1
895	2022-12-24 09:05:42+00:00	2022-12-25 09:47:21+00:00	closed	[FIX] remove line skip in realignement parameter names	Remi-Gau	1
888	2022-12-15 13:35:04+00:00	2022-12-15 21:23:34+00:00	closed	[FIX] fix python cli	Remi-Gau	0
886	2022-12-14 18:04:47+00:00	2022-12-14 19:36:24+00:00	closed	[REL] version 3.0.0	Remi-Gau	0
885	2022-12-14 16:17:04+00:00	2022-12-14 17:40:21+00:00	closed	[ENH] update CPP_ROI	Remi-Gau	0
884	2022-12-14 12:10:33+00:00	2022-12-14 17:40:51+00:00	closed	[FIX] better handle metadata when changing suffix	Remi-Gau	0
883	2022-12-14 11:59:11+00:00	2022-12-14 16:40:05+00:00	closed	[ENH] add extra files to derivatives datasets	Remi-Gau	0
882	2022-12-14 11:10:07+00:00	2022-12-14 13:14:56+00:00	closed	[DEP] deprecate slice order in options	Remi-Gau	0
880	2022-12-13 20:13:57+00:00	2022-12-14 13:15:41+00:00	closed	[ENH] include roi based calls in CLI 	Remi-Gau	0
879	2022-12-13 17:27:32+00:00	2022-12-13 21:32:03+00:00	closed	[ENH] incorporate opt.results in bids stats model	Remi-Gau	0
878	2022-12-13 12:10:18+00:00	2022-12-13 16:03:39+00:00	closed	[REF] refactor CI workflows	Remi-Gau	0
877	2022-12-13 11:58:08+00:00	2022-12-13 12:40:31+00:00	closed	[ENH] set up tests on NARPS dataset	Remi-Gau	0
873	2022-12-12 18:15:48+00:00	2022-12-13 06:48:02+00:00	closed	[ENH] change the way parametric models are run	Remi-Gau	0
872	2022-12-12 12:18:24+00:00	2022-12-14 16:18:10+00:00	closed	[DOC] update FAQ to explain how to change subject level GLM folder name	Remi-Gau	2
871	2022-12-12 12:01:46+00:00	2022-12-12 13:06:58+00:00	closed	[ENH] add option to ignore creating dataset level node in default model	Remi-Gau	0
870	2022-12-12 11:45:41+00:00	2022-12-12 13:07:12+00:00	closed	[FIX] exit with a warning and not an error when no constrast specified	Remi-Gau	0
869	2022-12-12 11:23:27+00:00	2022-12-12 11:24:36+00:00	closed	[FIX] fix SPM loading in returnContrastImageFile	Remi-Gau	0
868	2022-12-12 10:32:45+00:00	2022-12-12 10:34:14+00:00	closed	[FIX] fix make file	Remi-Gau	0
867	2022-12-09 14:44:26+00:00	2022-12-10 11:35:35+00:00	closed	[ENH] implement logger	Remi-Gau	0
866	2022-12-09 12:21:56+00:00	2022-12-09 13:28:12+00:00	closed	[ENH] add function to return contrast filename for a certain contrast name	Remi-Gau	0
864	2022-12-07 06:28:05+00:00	2022-12-07 07:16:10+00:00	closed	[MNT] reorganize folders	Remi-Gau	0
863	2022-12-07 06:11:36+00:00	2022-12-07 07:15:47+00:00	closed	[MNT] replace isfolder by isdir	Remi-Gau	0
861	2022-12-07 00:05:24+00:00	2022-12-07 08:40:35+00:00	closed	[INFRA] add integration test roi based glm	Remi-Gau	0
842	2022-11-27 18:29:01+00:00	2022-11-27 21:42:48+00:00	closed	[ENH] add copy dataset to CLI	Remi-Gau	0
841	2022-11-26 17:22:48+00:00	2022-11-27 07:37:56+00:00	closed	[ENH] add smoothing to CLI	Remi-Gau	0
837	2022-11-26 11:41:10+00:00	2022-11-26 15:41:50+00:00	closed	[ENH] create docker image of bids app - Octave	Remi-Gau	0
832	2022-11-24 13:02:36+00:00	2022-11-24 18:53:00+00:00	closed	[ENH] use python based CLI to run bidspm with octave	Remi-Gau	0
829	2022-11-22 21:46:01+00:00	2022-11-22 22:02:55+00:00	closed	[REL] v2.3.0	Remi-Gau	0
828	2022-11-22 21:20:44+00:00	2022-11-22 21:43:12+00:00	closed	[DOC] add Stefania Mattioni as contributor	Remi-Gau	0
827	2022-11-22 21:06:27+00:00	2022-11-22 21:07:59+00:00	closed	docs: add SteMat9787 as a contributor for bug, and userTesting	allcontributors[bot]	0
826	2022-11-22 17:31:40+00:00	2022-11-22 18:30:54+00:00	closed	[FIX] use glob patterns to define dummy contrasts	Remi-Gau	0
823	2022-11-19 22:57:09+00:00	2022-11-20 11:58:19+00:00	closed	[ENH] save skipped ROIs and concat beta maps	Remi-Gau	0
822	2022-11-19 21:28:49+00:00	2022-11-19 22:25:55+00:00	closed	[ENH] add boilerplate to CLI	Remi-Gau	0
821	2022-11-19 18:34:32+00:00	2022-11-19 19:11:31+00:00	closed	[DOC] add auto label of activation info	Remi-Gau	0
820	2022-11-19 16:57:29+00:00	2022-11-19 18:24:13+00:00	closed	[DOC] improve bids model warning	Remi-Gau	0
819	2022-11-19 13:08:22+00:00	2022-11-19 15:19:43+00:00	closed	[DOC] add all functions to doc	Remi-Gau	0
817	2022-11-16 14:22:50+00:00	2022-11-19 14:04:05+00:00	closed	[FIX] rm desc when renamining some files in lesion segemtation	Remi-Gau	2
816	2022-11-15 17:31:21+00:00	2022-11-15 18:30:21+00:00	closed	[FIX] avoid duplicate contrasts	Remi-Gau	0
812	2022-11-14 11:24:09+00:00	2022-11-14 14:13:20+00:00	closed	[FIX] fix printing of windows path	Remi-Gau	0
811	2022-11-14 11:08:58+00:00	2022-11-14 11:44:20+00:00	closed	[MNT] update bids matlab	Remi-Gau	0
808	2022-11-13 17:01:10+00:00	2022-11-13 17:50:52+00:00	closed	[ENH] add error.log	Remi-Gau	0
807	2022-11-13 16:47:39+00:00	2022-11-13 17:02:27+00:00	closed	docs: add Manon-56 as a contributor for bug	allcontributors[bot]	0
806	2022-11-13 16:04:53+00:00	2022-11-13 16:46:53+00:00	closed	[FIX] make collecting of OS version on windows more robust	Remi-Gau	0
805	2022-11-13 14:53:43+00:00	2022-11-13 19:23:45+00:00	closed	[MNT] merge dev	Remi-Gau	0
804	2022-11-13 09:20:15+00:00	2022-11-13 15:32:07+00:00	closed	[ENH] Use CLI to create default model	Remi-Gau	0
795	2022-11-08 15:16:47+00:00	2022-11-08 18:03:56+00:00	closed	[FIX] throw warning when no results are asked	Remi-Gau	0
793	2022-11-08 13:23:51+00:00	2022-11-08 14:26:57+00:00	closed	[MNT] update bids matlab	Remi-Gau	0
792	2022-11-08 10:00:24+00:00	2022-11-08 11:49:50+00:00	closed	[FIX] fix windows bugs	Remi-Gau	0
790	2022-11-04 08:46:41+00:00	2022-11-04 10:53:50+00:00	closed	[MNT] improve doc generation and remove dead code	Remi-Gau	0
789	2022-11-04 07:47:35+00:00	2022-11-04 08:42:27+00:00	closed	[FIX] fix spelling	Remi-Gau	0
788	2022-11-03 18:29:16+00:00	2022-11-03 20:48:35+00:00	closed	[MNT] Test notebooks	Remi-Gau	0
787	2022-11-03 11:36:55+00:00	2022-11-03 17:23:04+00:00	closed	[ENH] improve bids validation	Remi-Gau	0
785	2022-11-03 08:52:31+00:00	2022-11-03 11:49:34+00:00	closed	[MNT] improve docker, version, release handling	Remi-Gau	0
784	2022-11-02 20:15:04+00:00	2022-11-03 07:11:43+00:00	closed	[ENH] add inverse normalize workflow	Remi-Gau	0
778	2022-11-02 16:37:45+00:00	2022-11-02 18:25:54+00:00	closed	[ENH] add csf tpm to lesion detection and update submodules	Remi-Gau	0
774	2022-10-30 07:59:07+00:00	2022-10-30 10:43:39+00:00	closed	[FIX] fix and tidy failing workflows	Remi-Gau	0
773	2022-10-29 13:29:25+00:00	2022-10-29 14:30:46+00:00	closed	[FIX] fixes workflow timing	Remi-Gau	0
772	2022-10-29 13:01:46+00:00	2022-10-29 14:30:16+00:00	closed	[ENH] add design only to CLI	Remi-Gau	0
771	2022-10-29 12:32:56+00:00	2022-10-29 12:42:39+00:00	closed	[MNT] use github action to validate citation cff	Remi-Gau	0
770	2022-10-29 12:26:39+00:00	2022-10-29 12:26:52+00:00	closed	docs: add yyang1234 as a contributor for bug, and userTesting	allcontributors[bot]	0
765	2022-10-24 12:27:44+00:00	2022-10-24 17:51:58+00:00	closed	related to #763 and testing through CI if the patch breaks things (reopened)	marcobarilari	0
762	2022-10-22 12:38:35+00:00	2022-10-29 12:42:18+00:00	closed	[MNT] update CI and fix tests	Remi-Gau	7
761	2022-10-18 19:23:22+00:00	2022-10-19 08:00:00+00:00	closed	[ENH] use CSF for lesion detection and rename output of lesion detection	Remi-Gau	0
758	2022-10-14 08:37:49+00:00	2022-10-18 16:30:21+00:00	closed	[ENH] add smoothing for anat files	mwmaclean	4
752	2022-09-21 19:21:25+00:00	2022-09-21 19:52:41+00:00	closed	[ENH] Update bidspm path	Remi-Gau	0
750	2022-09-21 11:40:12+00:00	2022-09-21 11:51:41+00:00	closed	[DOC] use new copyright format	Remi-Gau	0
748	2022-09-21 08:10:08+00:00	2022-09-21 11:30:13+00:00	closed	[ENH] add functions to help select fmriprep regressors	Remi-Gau	0
747	2022-09-11 10:10:44+00:00	2022-09-11 13:43:07+00:00	closed	[ENH] start switching to bidspm	Remi-Gau	0
746	2022-09-10 11:45:30+00:00	2022-09-10 17:29:35+00:00	closed	[DOC] improve stats doc and warnings	Remi-Gau	0
734	2022-08-24 08:40:06+00:00	2022-08-24 09:27:07+00:00	closed	[DEP] update bids matlab	Remi-Gau	0
733	2022-07-29 14:06:36+00:00	2022-07-29 16:38:30+00:00	closed	[MNT] start implement CLI	Remi-Gau	0
730	2022-07-22 14:21:54+00:00	2022-07-22 15:49:24+00:00	closed	[ENH] use inputs from several datasets for lesion abnormality detection	Remi-Gau	0
728	2022-07-20 13:30:48+00:00	2022-07-21 06:46:18+00:00	closed	[REL] v2.1.0	Remi-Gau	0
727	2022-07-20 08:49:30+00:00	2022-07-20 13:29:34+00:00	closed	[FIX] fix lesion segmentation output (and refactor)	Remi-Gau	0
726	2022-07-20 01:31:23+00:00	2022-07-20 08:16:15+00:00	closed	[FIX] add more explicit error message for input parsing of getData	Remi-Gau	0
723	2022-07-19 15:14:57+00:00	2022-07-19 15:58:45+00:00	closed	[FIX] fix ALI toolbox issues	Remi-Gau	0
721	2022-07-12 11:19:39+00:00	2022-07-12 11:29:52+00:00	closed	[MNT] update citation file	Remi-Gau	0
720	2022-07-12 10:52:30+00:00	2022-07-12 10:55:37+00:00	closed	docs: add christine0903 as a contributor for ideas	allcontributors[bot]	0
717	2022-07-11 19:03:52+00:00	2022-07-12 10:56:44+00:00	closed	[ENH] add possibility to use AAL for labelling of activations	Remi-Gau	0
716	2022-07-10 21:32:22+00:00	2022-07-20 02:24:14+00:00	closed	[FIX] support globbing patterns to specify conditions in design matrix	Remi-Gau	9
715	2022-07-04 20:09:33+00:00	2022-07-04 21:23:37+00:00	closed	[FIX] improve warning selecting too many masks	Remi-Gau	0
708	2022-07-01 08:32:17+00:00	2022-07-01 08:58:47+00:00	closed	[FIX] add guard clauses to run ROI based analysis only when requested	Remi-Gau	0
701	2022-06-29 17:08:33+00:00	2022-07-04 20:10:07+00:00	closed	[FIX] fix and refactor demos, and update help sections	Remi-Gau	5
700	2022-06-29 15:46:48+00:00	2022-06-29 15:51:13+00:00	closed	[FIX] convert nan to zeros in confounds	Remi-Gau	0
699	2022-06-29 14:29:41+00:00	2022-06-29 14:42:28+00:00	closed	[FIX] change default space value in cpp_spm	Remi-Gau	0
697	2022-06-29 14:01:14+00:00	2022-06-29 14:01:30+00:00	closed	docs: add JeanneCaronGuyon as a contributor for bug	allcontributors[bot]	0
694	2022-06-28 16:44:23+00:00	2022-06-28 19:08:19+00:00	closed	[FIX] various bug fixes	Remi-Gau	0
693	2022-06-28 10:57:19+00:00	2022-06-28 12:25:59+00:00	closed	[FIX] add some warnings to handle several bugs with empty ROIs	Remi-Gau	0
692	2022-06-27 19:48:48+00:00	2022-06-27 23:26:50+00:00	closed	[INFRA] fix octave tests	Remi-Gau	0
688	2022-06-27 14:29:21+00:00	2022-06-27 14:29:45+00:00	closed	docs: add mwmaclean as a contributor for bug	allcontributors[bot]	0
687	2022-06-27 14:13:58+00:00	2022-06-27 14:54:23+00:00	closed	[FIX] patches for #682 and #683	mwmaclean	0
686	2022-06-27 14:07:55+00:00	2022-06-27 17:58:44+00:00	closed	[FIX] re enable octave tests CI	Remi-Gau	0
685	2022-06-27 13:14:01+00:00	2022-06-27 13:57:55+00:00	closed	[DOC] update FAQ to help structure data to run stats on fmriprep	Remi-Gau	0
680	2022-06-25 15:27:07+00:00	2022-06-25 15:27:34+00:00	closed	[DEP] update bids matlab	Remi-Gau	0
679	2022-06-24 18:27:56+00:00	2022-06-24 20:07:17+00:00	closed	[FIX] ensure that bidsResults does not run if we don't have the proper options	Remi-Gau	0
678	2022-06-24 17:44:09+00:00	2022-06-24 18:50:39+00:00	closed	[DOC] add demo for ds002799	Remi-Gau	0
677	2022-06-24 13:22:05+00:00	2022-06-24 16:05:41+00:00	closed	[DOC] add DIY section to documtation	Remi-Gau	0
676	2022-06-23 19:14:58+00:00	2022-06-23 21:56:53+00:00	closed	[FIX] returnRootDir only relies on fullpaths	Remi-Gau	0
675	2022-06-23 16:20:11+00:00	2022-06-23 19:10:18+00:00	closed	[FIX] set minimum compatible fmriprep version	Remi-Gau	0
670	2022-06-21 14:28:42+00:00	2022-06-21 18:41:45+00:00	closed	[DOC] improve description of stats output and of bids stats model	Remi-Gau	0
668	2022-06-21 10:54:32+00:00	2022-06-21 13:15:56+00:00	closed	[FIX] renaming of design matrix images at group level	Remi-Gau	0
665	2022-06-21 06:44:48+00:00	2022-06-21 07:43:08+00:00	closed	[FIX] make sure 2 sample ttest can run more than one contrasts	Remi-Gau	0
663	2022-06-20 12:06:51+00:00	2022-06-20 12:57:40+00:00	closed	[FIX] label actiation: csv results file witrh no significant voxels are ignored with a warning	Remi-Gau	0
661	2022-06-18 08:25:04+00:00	2022-06-18 08:25:23+00:00	closed	[INFRA] improve issue template	Remi-Gau	0
659	2022-06-17 07:35:36+00:00	2022-06-17 08:49:42+00:00	closed	[FIX] onsets and confounds are saved in the proper dir when there are several tasks	Remi-Gau	0
657	2022-06-17 01:55:43+00:00	2022-06-17 02:44:18+00:00	closed	[FIX] fix silent dry run override	Remi-Gau	0
656	2022-06-15 16:09:55+00:00	2022-06-15 18:29:31+00:00	closed	[FIX] use proper subject background for montage	Remi-Gau	0
654	2022-06-15 15:46:31+00:00	2022-06-15 16:20:13+00:00	closed	[FIX] allow extra BIDS entities to be integrated in glm dir name	Remi-Gau	0
652	2022-06-15 13:37:04+00:00	2022-06-15 14:59:27+00:00	closed	[FIX] make GLM path more consistent	Remi-Gau	0
650	2022-06-15 11:33:10+00:00	2022-06-15 12:54:06+00:00	closed	[FIX] prevent some crashes if Model.Input are not passed as arrays	Remi-Gau	0
649	2022-06-15 10:33:30+00:00	2022-06-15 11:16:55+00:00	closed	[FIX] fix printing of of path 	Remi-Gau	0
638	2022-06-12 21:12:16+00:00	2022-06-12 22:16:16+00:00	closed	[FIX] properly skip segment and sullstrip	Remi-Gau	0
634	2022-06-12 08:17:22+00:00	2022-06-12 17:54:51+00:00	closed	[FIX] use unix format when priting path to screen	Remi-Gau	0
631	2022-06-11 09:26:00+00:00	2022-06-11 10:17:44+00:00	closed	[FIX] getEnvInfo for windows	Remi-Gau	0
626	2022-06-10 10:55:39+00:00	2022-06-10 17:12:30+00:00	closed	[DOC] Update FAQ and BIDS stats model related doc	Remi-Gau	0
624	2022-06-10 10:38:10+00:00	2022-06-10 10:54:22+00:00	closed	[DOC] update vismotion demo	Remi-Gau	0
622	2022-06-08 21:24:10+00:00	2022-06-08 21:48:17+00:00	closed	[ENH] add neuromorphometrics label to bidsResults output when in MNI space 	Remi-Gau	0
621	2022-06-08 18:08:26+00:00	2022-06-08 19:43:45+00:00	closed	[ENH] make it possible to run models / contrasts using other columns than trial_type	Remi-Gau	0
620	2022-06-07 16:24:31+00:00	2022-06-08 16:58:59+00:00	closed	[ENH] improve group level analysis	Remi-Gau	1
615	2022-06-06 21:08:08+00:00	2022-06-06 21:22:10+00:00	closed	"[ENH] allow to run ""contrasts"" and ""results"" from main API"	Remi-Gau	0
614	2022-06-06 15:25:47+00:00	2022-06-06 15:44:56+00:00	closed	[DOC] update where references are stored	Remi-Gau	0
613	2022-06-06 14:39:21+00:00	2022-06-06 14:40:11+00:00	closed	[INFRA] add validation workflow for citation.cff	Remi-Gau	0
611	2022-06-06 11:58:27+00:00	2022-06-06 20:32:01+00:00	closed	[FIX] GLM: allow to filter input files based on BIDS entities for bold files	Remi-Gau	0
609	2022-06-05 12:08:17+00:00	2022-06-05 13:39:10+00:00	closed	[REF] refactor roi related functions	Remi-Gau	0
608	2022-06-03 17:06:40+00:00	2022-06-03 18:04:14+00:00	closed	[ENH] misc	Remi-Gau	0
607	2022-06-03 10:31:10+00:00	2022-06-03 13:51:46+00:00	closed	[FIX] fix several issues related to getting the correct files for the GLM	Remi-Gau	0
606	2022-06-03 08:25:23+00:00	2022-06-03 10:08:10+00:00	closed	[FIX] fix several issues for GLM at the subject level	Remi-Gau	0
604	2022-06-02 13:42:03+00:00	2022-06-02 18:06:53+00:00	closed	[ENH] use official HRF model from bids stats model	Remi-Gau	0
602	2022-06-02 06:08:24+00:00	2022-06-02 07:35:37+00:00	closed	[FIX & ENH] Spatial preprocessing normalizes output of skullstripping	Remi-Gau	0
601	2022-06-01 11:29:51+00:00	2022-06-01 11:48:17+00:00	closed	[DOC] Update getRegressorIdx.m	Remi-Gau	0
599	2022-06-01 02:00:05+00:00	2022-06-01 07:48:05+00:00	closed	Changes by create-pull-request action	github-actions[bot]	0
598	2022-05-31 18:51:05+00:00	2022-05-31 20:07:57+00:00	closed	[INFRA & FIX] system test and figure duplicate	Remi-Gau	0
597	2022-05-31 05:49:10+00:00	2022-05-31 17:35:52+00:00	closed	[ENH] add two sample t test group level batch	Remi-Gau	0
596	2022-05-31 05:06:03+00:00	2022-05-31 05:23:43+00:00	closed	[FIX] fix system test and silence ALI warning	Remi-Gau	0
595	2022-05-30 18:50:59+00:00	2022-05-30 22:12:15+00:00	closed	[ENH] improve reports	Remi-Gau	0
594	2022-05-30 17:17:36+00:00	2022-05-31 04:40:47+00:00	closed	[DOC] fmriprep stats demo	Remi-Gau	0
592	2022-05-29 10:18:01+00:00	2022-05-30 05:25:53+00:00	closed	[ENH] misc improvements at the run level GLM	Remi-Gau	0
590	2022-05-27 19:43:30+00:00	2022-05-28 20:36:03+00:00	closed	[FIX & ENH] misc	Remi-Gau	1
589	2022-05-27 13:48:18+00:00	2022-05-27 16:49:07+00:00	closed	"[ENH] add ""force"" parameter to bidsCopyInputFolder"	Remi-Gau	0
588	2022-05-26 14:48:29+00:00	2022-05-26 14:48:37+00:00	closed	[ENH] use native resolution for segmentation for lesion detection	Remi-Gau	0
586	2022-05-26 06:26:45+00:00	2022-05-26 09:06:34+00:00	closed	[INFRA] CI and system tests improvements	Remi-Gau	0
585	2022-05-25 10:36:05+00:00	2022-05-25 13:13:45+00:00	closed	[ENH] Add parametric modulation to run / subject level GLM	Remi-Gau	0
584	2022-05-24 08:56:00+00:00	2022-05-25 06:41:41+00:00	closed	[ENH] add F test	Remi-Gau	0
581	2022-05-22 10:08:58+00:00	2022-05-22 21:14:58+00:00	closed	[ENH] adapt group level analysis to work with BIDS stats model	Remi-Gau	0
